Starting training from scratch with 39-dim architecture.
Connected to Godot at 127.0.0.1:4242
Ep: 301 | Steps: 1000 | Total Reward: -12823.67 | Avg: -12.8237
Ep: 302 | Steps: 1000 | Total Reward: -13134.97 | Avg: -13.1350
Ep: 303 | Steps: 1000 | Total Reward: -14682.79 | Avg: -14.6828

--- Updating Brain (Step 204000) ---
Ep: 304 | Steps: 1000 | Total Reward: -13592.36 | Avg: -13.5924
Ep: 305 | Steps: 1000 | Total Reward: -12553.52 | Avg: -12.5535
Ep: 306 | Steps: 1000 | Total Reward: -15481.91 | Avg: -15.4819
Ep: 307 | Steps: 1000 | Total Reward: -11922.41 | Avg: -11.9224

--- Updating Brain (Step 208000) ---
Ep: 308 | Steps: 1000 | Total Reward: -12748.67 | Avg: -12.7487
Ep: 309 | Steps: 1000 | Total Reward: -14694.79 | Avg: -14.6948
Ep: 310 | Steps: 1000 | Total Reward: -13094.81 | Avg: -13.0948
Ep: 311 | Steps: 1000 | Total Reward: -16824.85 | Avg: -16.8248

--- Updating Brain (Step 212000) ---
Ep: 312 | Steps: 1000 | Total Reward: -13090.79 | Avg: -13.0908
Ep: 313 | Steps: 1000 | Total Reward: -12478.38 | Avg: -12.4784
Ep: 314 | Steps: 1000 | Total Reward: -15242.79 | Avg: -15.2428
Ep: 315 | Steps: 1000 | Total Reward: -15711.50 | Avg: -15.7115

--- Updating Brain (Step 216000) ---
Ep: 316 | Steps: 1000 | Total Reward: -15992.05 | Avg: -15.9920
Ep: 317 | Steps: 1000 | Total Reward: -13752.24 | Avg: -13.7522
Ep: 318 | Steps: 741 | Total Reward: -17620.80 | Avg: -23.7798
Ep: 319 | Steps: 1000 | Total Reward: -22059.28 | Avg: -22.0593
Ep: 320 | Steps: 464 | Total Reward: -7913.46 | Avg: -17.0549
